iter	Logloss
0	0.6122686245
1	0.5468095213
2	0.4864208639
3	0.4448085277
4	0.4115095113
5	0.3730333924
6	0.3445309869
7	0.3238782138
8	0.3032636587
9	0.2912130251
10	0.2767788029
11	0.2542661754
12	0.2327029455
13	0.2261298703
14	0.2172108457
15	0.2100077367
16	0.1995055676
17	0.1964272731
18	0.1824176476
19	0.1750649705
20	0.1720476131
21	0.1668250961
22	0.1636939784
23	0.1533387787
24	0.1461529329
25	0.1443237019
26	0.14160893
27	0.1386629069
28	0.1368032352
29	0.1349851847
30	0.1324603552
31	0.1306192766
32	0.1275765783
33	0.122731209
34	0.1205247062
35	0.1182528802
36	0.1158527577
37	0.1141133486
38	0.1122005304
39	0.1107146183
40	0.1097243784
41	0.1082731459
42	0.1061397983
43	0.1053559939
44	0.1028493109
45	0.1012406351
46	0.09976532827
47	0.09801116521
48	0.09623767656
49	0.0938908077
50	0.09256473257
51	0.09002619583
52	0.08820066877
53	0.08679708417
54	0.08600374765
55	0.08541428998
56	0.08356337347
57	0.08284551431
58	0.08203614773
59	0.08095210069
60	0.07985866141
61	0.07799652894
62	0.07644814825
63	0.07422251755
64	0.07375626204
65	0.07332395861
66	0.07138673801
67	0.07032341533
68	0.070089953
69	0.06964482094
70	0.06940126456
71	0.06745689759
72	0.06685097005
73	0.06649407259
74	0.06506521067
75	0.06455776869
76	0.06436196851
77	0.06355569375
78	0.06264144591
79	0.06170620485
80	0.06109254759
81	0.06066372751
82	0.06032924874
83	0.05986018434
84	0.05852552436
85	0.05822306874
86	0.05788238895
87	0.0576341682
88	0.0573503949
89	0.05631941801
90	0.05597610733
91	0.05544107964
92	0.05480975244
93	0.05411510285
94	0.05302045466
95	0.05203373017
96	0.05177750968
97	0.05154655481
98	0.05106139852
99	0.05073167628
100	0.05024872011
101	0.04994470868
102	0.04973903728
103	0.04880793921
104	0.04866538015
105	0.04834046936
106	0.04737130389
107	0.04719066751
108	0.04667460079
109	0.04619751653
110	0.04603149049
111	0.045832941
112	0.04558165579
113	0.04539365146
114	0.04454126747
115	0.04361956321
116	0.04314723125
117	0.04270335151
118	0.04253545159
119	0.04243172577
120	0.04216587333
121	0.04183691541
122	0.041523112
123	0.04098360987
124	0.04076092257
125	0.04046188911
126	0.04000897905
127	0.03958431221
128	0.03938586613
129	0.03920837692
130	0.03917986374
131	0.03892824683
132	0.03874452397
133	0.03829665313
134	0.03779599651
135	0.03770372434
136	0.03746573627
137	0.03711496903
138	0.03684213022
139	0.03682677367
140	0.03666688773
141	0.03664642428
142	0.03617241929
143	0.03595499249
144	0.03571398636
145	0.03552776907
146	0.03552777453
147	0.03540433103
148	0.03537256107
149	0.03473134835
