tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1018,0.0,25,0,272.0,0.0,4297.48,6.449289366537467,3624.36,5.227172594561315,135.68,0.47609522856952385,2169.52,4.753244505948903,993.48,111.267365685841,1725181440.0,LOT-100,217659,86454,5373,119,3565,404,447,405,1820,3891,3445,118,290,290,54346,5,355135,5,215549,5
TRAY-1019,0.0,25,0,285.0,0.0,4292.72,8.580598269739967,3622.92,3.978274332756181,135.68,0.4760952285695241,2169.72,4.2182144721829005,970.72,87.48215056036668,1725182120.0,LOT-100,217594,86468,4886,118,3552,404,460,405,1748,3892,3395,118,290,290,53596,5,355312,5,215294,5
TRAY-1020,0.0,25,0,290.0,0.0,4287.76,9.386515150292372,3622.64,4.131989028704348,135.6,0.4999999999999988,2166.2,4.339738855430531,970.28,90.47721628491156,1725182695.0,LOT-100,217594,86469,4886,119,3559,405,457,404,1728,3886,3398,118,291,291,53669,5,355266,5,215251,5
TRAY-1021,0.0,25,0,288.0,0.0,4290.36,8.755379298846249,3624.0,4.907477288111849,135.64,0.48989794855663743,2165.8,4.102844541697244,1000.96,106.47318911350409,1725183330.0,LOT-100,217508,86460,4673,118,3546,405,462,404,1832,3891,3447,118,290,291,52893,7,354856,5,215594,8
TRAY-1022,0.0,25,0,290.0,0.0,4298.64,6.303967004989839,3622.12,4.11622804680854,135.84,0.37416573867738456,2173.48,4.39810565281613,955.48,83.5773693452161,1725184175.0,LOT-100,217508,86459,4673,119,3557,405,456,405,1721,3893,3369,118,290,290,54843,4,355537,5,215567,6
TRAY-1023,0.0,24,0,273.0,0.0,4279.166666666667,9.053784539779686,3624.75,4.2040353285239975,135.75,0.44232586846469135,2158.5416666666665,5.2831081650916785,996.5416666666666,93.63666095799402,1725184885.0,LOT-100,217066,86461,5732,118,3556,404,466,404,1797,3884,3428,118,290,290,53500,5,355357,5,215150,5
TRAY-1024,0.08,25,2,276.0,0.0,4286.68,7.487322618934007,3626.0,4.708148963941937,135.68,0.47609522856952186,2161.92,4.290687590585008,1022.2,106.61535224034735,1725185445.0,LOT-100,217065,86461,5733,119,3548,405,449,406,1815,3888,3471,118,289,291,54233,5,355276,5,215794,5
TRAY-1025,0.0,25,0,299.0,0.0,4280.64,7.89451286231992,3622.0,4.941322360124536,135.56,0.5066228051190228,2163.8,5.408326913196008,967.16,101.67869327772983,1725186410.0,LOT-100,217437,86493,4608,119,3565,405,462,405,1672,3888,3395,118,290,290,53669,5,355266,5,215251,5
TRAY-1026,0.0,24,0,293.0,0.0,4292.166666666667,8.090072642585998,3623.1666666666665,5.623449866923176,135.75,0.4423258684646921,2168.4583333333335,4.690222639256836,995.3333333333334,123.15902292376401,1725187195.0,LOT-100,217437,86494,4608,118,3576,404,453,404,1830,3895,3466,117,280,280,53556,5,355142,6,215260,5
TRAY-1027,0.0,25,0,292.0,0.0,4289.04,8.349051842375045,3625.04,4.596012764705161,135.72,0.4582575694955889,2165.76,4.446721638840578,1004.6,97.62299933929509,1725187905.0,LOT-100,217330,86479,4447,119,3547,405,461,404,1787,3886,3433,117,290,291,53765,5,354793,5,215662,5
TRAY-1028,0.0,17,0,292.0,0.0,4301.294117647059,5.2053422783996295,3619.1176470588234,4.4000334223329,135.8235294117647,0.39295262399668796,2177.529411764706,4.094472601245841,892.4117647058823,87.18303936512639,1725188735.0,LOT-100,217330,86480,4446,118,3567,406,459,405,1690,3893,3368,118,290,291,53409,5,354976,5,215709,5
TRAY-1029,0.0,17,0,286.0,0.0,4299.294117647059,8.780409343264962,3620.6470588235293,5.122757759139503,135.94117647058823,0.2425356250363349,2171.1176470588234,5.097577279222712,924.0,105.92450141492293,1725189505.0,LOT-101,217254,86564,4704,119,3554,404,459,404,1708,3898,3360,118,291,291,18379,5,354831,6,215470,5
TRAY-1030,0.0,16,0,280.0,0.0,4299.625,6.561249880929544,3623.8125,5.381681893237611,135.75,0.44721359549996026,2169.8125,3.544361719689424,1007.125,115.39259075001301,1725190365.0,LOT-100,217254,86563,4703,118,3552,405,460,404,1802,3892,3472,118,279,280,53595,5,355311,5,215293,5
TRAY-1031,0.0,25,0,290.0,0.0,4297.68,10.367095382346983,3624.8,4.9244289008980076,135.84,0.3741657386773915,2168.92,5.922555754627072,1010.6,108.39049773850104,1725191060.0,LOT-101,217343,86497,5426,118,3550,406,468,405,1823,3893,3462,118,290,291,53320,5,355834,5,215604,5
TRAY-1032,0.0,16,0,289.0,0.0,4292.1875,9.676216547115214,3624.75,4.250490167811972,135.6875,0.47871355387817566,2167.75,5.543765266796011,999.1875,92.33144552823448,1725191995.0,LOT-101,217342,86497,5425,118,3549,405,454,405,1723,3889,3409,117,290,290,53130,5,355878,6,215140,6
TRAY-1033,0.0,17,0,294.0,0.0,4305.235294117647,9.45072359507936,3624.529411764706,4.515496194478823,135.8235294117647,0.39295262399668973,2175.5882352941176,4.500816919313233,999.3529411764706,97.73749355830046,1725192825.0,LOT-100,217330,86495,5082,119,3555,405,458,405,1781,3893,3436,118,290,291,54233,5,355275,5,215795,5
TRAY-1034,0.041666666666666664,24,1,277.0,0.0,4277.875,7.990823541385627,3624.2083333333335,5.48499270077327,135.625,0.4945353550468429,2160.2916666666665,4.5918563705255,1001.8333333333334,117.06804660637286,1725193640.0,LOT-101,217330,86495,5082,118,3536,404,457,405,14078,3863,18116,118,836,280,44519,9,349305,9,211497,10
TRAY-1035,0.0,25,0,288.0,0.0,4292.2,10.091250335480245,3624.24,5.918051481132454,135.76,0.43588989435406905,2168.92,7.637189710008962,987.16,120.65642682150556,1725194320.0,LOT-101,217397,86493,5216,118,3563,405,459,405,1763,3893,3440,117,290,290,53284,5,355962,5,214870,5
TRAY-1036,0.0,25,0,283.0,0.0,4285.36,10.359697550282686,3623.24,5.569859363873857,135.64,0.4898979485566339,2162.44,5.315700016617386,961.76,117.73957137116928,1725195285.0,LOT-101,217396,86494,5218,117,3546,405,466,404,1720,3884,3398,118,291,291,53706,4,355266,6,215114,5
TRAY-1037,0.0,25,0,298.0,0.0,4288.48,8.231646250902722,3623.84,5.071817557181347,135.68,0.47609522856951403,2166.88,4.6036217626270695,994.68,107.87790938525522,1725196040.0,LOT-101,217236,86496,5180,119,3554,405,453,405,1752,3890,3442,117,290,291,52784,5,355101,6,215308,5
TRAY-1038,0.0,25,0,287.0,0.0,4291.52,11.996944055327772,3624.48,5.1810552335730415,135.68,0.4760952285695221,2166.64,9.521379451879032,982.08,102.22031761510688,1725196570.0,LOT-101,217236,86496,5181,118,3552,404,460,405,1773,3889,3416,118,290,290,53500,5,355357,5,215150,5
